Country,Internet_3i_metric,Internet_3i_score
Dominican Republic,Quality,36.1
Ecuador,Quality,37.9
Egypt,Quality,35.5
El Salvador,Quality,31.0
Estonia,Quality,49.4
Ethiopia,Quality,33.6
Finland,Quality,50.6
France,Quality,54.3
Gabon,Quality,31.7
Germany,Quality,46.1
Ghana,Quality,35.0
Greece,Quality,41.7
Guatemala,Quality,38.6
Guinea,Quality,24.0
Honduras,Quality,35.5
Hong Kong,Quality,79.3
Hungary,Quality,56.1
India,Quality,34.4
Indonesia,Quality,36.3
Iran,Quality,37.1
Ireland,Quality,42.7
Israel,Quality,43.7
Italy,Quality,42.9
Jamaica,Quality,39.4
Japan,Quality,52.6
Jordan,Quality,46.4
Kazakhstan,Quality,39.7
Kenya,Quality,39.5
Kuwait,Quality,50.4
Laos,Quality,43.0
Latvia,Quality,52.9
Lebanon,Quality,41.3
Liberia,Quality,39.3
Lithuania,Quality,58.1
Madagascar,Quality,31.9
Malawi,Quality,35.6
Malaysia,Quality,45.5
Mali,Quality,38.0
Mexico,Quality,40.4
Mongolia,Quality,41.3
Morocco,Quality,38.7
Mozambique,Quality,33.3
Myanmar,Quality,42.1
Namibia,Quality,33.6
Nepal,Quality,35.6
Netherlands,Quality,58.6
New Zealand,Quality,56.0
Nicaragua,Quality,36.3
Niger,Quality,10.3
Nigeria,Quality,30.0
Oman,Quality,43.7
Pakistan,Quality,34.0
Panama,Quality,40.9
Papua New Guinea,Quality,30.4
Paraguay,Quality,36.1
Peru,Quality,38.3
Philippines,Quality,33.7
Poland,Quality,45.4
Portugal,Quality,50.3
Qatar,Quality,61.8
Romania,Quality,59.1
Russia,Quality,43.9
Rwanda,Quality,30.7
Saudi Arabia,Quality,51.6
Senegal,Quality,34.5
Sierra Leone,Quality,32.8
Singapore,Quality,80.0
Slovakia,Quality,46.2
South Africa,Quality,39.4
South Korea,Quality,71.5
Spain,Quality,55.2
Sri Lanka,Quality,36.5
Sudan,Quality,22.2
Sweden,Quality,58.7
Switzerland,Quality,64.7
Taiwan,Quality,71.5
Tanzania,Quality,31.4
Thailand,Quality,58.9
Trinidad & Tobago,Quality,42.6
Tunisia,Quality,37.4
Turkey,Quality,42.2
UAE,Quality,67.5
Uganda,Quality,31.4
Ukraine,Quality,44.0
United Kingdom,Quality,44.1
United States,Quality,50.5
Uruguay,Quality,43.3
Uzbekistan,Quality,33.0
Venezuela,Quality,21.1
Vietnam,Quality,49.8
Zambia,Quality,31.6
Zimbabwe,Quality,31.2
Algeria,RELEVANCE,56.3
Angola,RELEVANCE,25.7
Argentina,RELEVANCE,87.3
Australia,RELEVANCE,91.2
Austria,RELEVANCE,87.2
Azerbaijan,RELEVANCE,78.5
Bahrain,RELEVANCE,84.3
Bangladesh,RELEVANCE,67.6
Belgium,RELEVANCE,87.9
Benin,RELEVANCE,31.1
Botswana,RELEVANCE,35.4
Brazil,RELEVANCE,85.0
Bulgaria,RELEVANCE,88.8
Burkina Faso,RELEVANCE,38.4
Burundi,RELEVANCE,29.5
Cambodia,RELEVANCE,58.7
Cameroon,RELEVANCE,46.9
Canada,RELEVANCE,81.9
Chile,RELEVANCE,89.0
China,RELEVANCE,88.4
Colombia,RELEVANCE,84.7
Congo (DRC),RELEVANCE,41.3
Costa Rica,RELEVANCE,80.1
Cote d'Ivoire,RELEVANCE,57.0
Croatia,RELEVANCE,90.8
Cuba,RELEVANCE,52.6
Czech Republic,RELEVANCE,78.1
Denmark,RELEVANCE,91.9
Dominican Republic,RELEVANCE,66.7
Ecuador,RELEVANCE,78.0
Egypt,RELEVANCE,69.9
El Salvador,RELEVANCE,62.3
Estonia,RELEVANCE,93.6
Ethiopia,RELEVANCE,53.7
Finland,RELEVANCE,88.3
France,RELEVANCE,89.3
Gabon,RELEVANCE,39.8
Germany,RELEVANCE,78.5
Ghana,RELEVANCE,58.1
Greece,RELEVANCE,91.1
Guatemala,RELEVANCE,74.3
Guinea,RELEVANCE,32.4
Honduras,RELEVANCE,73.0
Hong Kong,RELEVANCE,87.5
Hungary,RELEVANCE,73.1
India,RELEVANCE,83.3
Indonesia,RELEVANCE,79.9
Iran,RELEVANCE,86.5
Ireland,RELEVANCE,89.8
Israel,RELEVANCE,88.0
Italy,RELEVANCE,90.7
Jamaica,RELEVANCE,50.4
Japan,RELEVANCE,82.1
Jordan,RELEVANCE,76.7
Kazakhstan,RELEVANCE,75.7
Kenya,RELEVANCE,85.4
Kuwait,RELEVANCE,84.3
Laos,RELEVANCE,50.2
Latvia,RELEVANCE,88.5
Lebanon,RELEVANCE,56.4
Liberia,RELEVANCE,35.4
Lithuania,RELEVANCE,90.6
Madagascar,RELEVANCE,37.6
Malawi,RELEVANCE,46.5
Malaysia,RELEVANCE,88.3
Mali,RELEVANCE,47.1
Mexico,RELEVANCE,86.1
Mongolia,RELEVANCE,76.1
Morocco,RELEVANCE,76.1
Mozambique,RELEVANCE,34.7
Myanmar,RELEVANCE,68.0
Namibia,RELEVANCE,44.3
Nepal,RELEVANCE,54.9
Netherlands,RELEVANCE,86.0
New Zealand,RELEVANCE,89.2
Nicaragua,RELEVANCE,68.4
Niger,RELEVANCE,33.2
Nigeria,RELEVANCE,83.6
Oman,RELEVANCE,82.0
Pakistan,RELEVANCE,57.3
Panama,RELEVANCE,67.0
Papua New Guinea,RELEVANCE,45.3
Paraguay,RELEVANCE,88.4
Peru,RELEVANCE,83.5
Philippines,RELEVANCE,77.6
Poland,RELEVANCE,94.1
Portugal,RELEVANCE,89.9
Qatar,RELEVANCE,83.0
Romania,RELEVANCE,87.8
Russia,RELEVANCE,92.3
Rwanda,RELEVANCE,64.4
Saudi Arabia,RELEVANCE,87.1
Senegal,RELEVANCE,43.4
Sierra Leone,RELEVANCE,41.6
Singapore,RELEVANCE,84.7
Slovakia,RELEVANCE,88.5
South Africa,RELEVANCE,82.9
South Korea,RELEVANCE,78.8
Spain,RELEVANCE,88.5
Sri Lanka,RELEVANCE,73.5
Sudan,RELEVANCE,60.1
Sweden,RELEVANCE,90.7
Switzerland,RELEVANCE,84.7
Taiwan,RELEVANCE,92.0
Tanzania,RELEVANCE,57.0
Thailand,RELEVANCE,69.9
Trinidad & Tobago,RELEVANCE,61.3
Tunisia,RELEVANCE,60.1
Turkey,RELEVANCE,79.2
UAE,RELEVANCE,85.1
Uganda,RELEVANCE,76.1
Ukraine,RELEVANCE,86.9
United Kingdom,RELEVANCE,84.1
United States,RELEVANCE,92.9
Uruguay,RELEVANCE,86.5
Uzbekistan,RELEVANCE,70.7
Venezuela,RELEVANCE,75.3
Vietnam,RELEVANCE,79.8
Zambia,RELEVANCE,59.1
Zimbabwe,RELEVANCE,49.9
Algeria,READINESS,53.7
Angola,READINESS,54.2
Argentina,READINESS,78.2
Australia,READINESS,80.9
Austria,READINESS,81.4
Azerbaijan,READINESS,59.7
Bahrain,READINESS,73.6
Bangladesh,READINESS,62.7
Belgium,READINESS,77.4
Benin,READINESS,59.3
Botswana,READINESS,68.4
Brazil,READINESS,64.5
Bulgaria,READINESS,72.7
Burkina Faso,READINESS,50.6
Burundi,READINESS,35.0
Cambodia,READINESS,55.1
Cameroon,READINESS,41.8
Canada,READINESS,76.6
Chile,READINESS,82.9
China,READINESS,76.1
Colombia,READINESS,79.7
Congo (DRC),READINESS,45.4
Costa Rica,READINESS,73.2
Cote d'Ivoire,READINESS,43.6
Croatia,READINESS,67.6
Cuba,READINESS,55.7
Czech Republic,READINESS,73.2
Denmark,READINESS,75.8
Dominican Republic,READINESS,73.4
Ecuador,READINESS,61.1
Egypt,READINESS,61.7
El Salvador,READINESS,48.0
Estonia,READINESS,78.5
Ethiopia,READINESS,45.3
Finland,READINESS,76.0
France,READINESS,72.6
Gabon,READINESS,50.9
Germany,READINESS,80.7
Ghana,READINESS,65.5
Greece,READINESS,63.6
Guatemala,READINESS,43.2
Guinea,READINESS,48.3
Honduras,READINESS,39.0
Hong Kong,READINESS,69.6
Hungary,READINESS,66.7
India,READINESS,73.9
Indonesia,READINESS,63.4
Iran,READINESS,72.6
Ireland,READINESS,70.6
Israel,READINESS,72.9
Italy,READINESS,72.0
Jamaica,READINESS,66.1
Japan,READINESS,81.5
Jordan,READINESS,59.0
Kazakhstan,READINESS,69.5
Kenya,READINESS,69.4
Kuwait,READINESS,66.8
Laos,READINESS,46.1
Latvia,READINESS,77.5
Lebanon,READINESS,43.3
Liberia,READINESS,50.9
Lithuania,READINESS,71.8
Madagascar,READINESS,52.8
Malawi,READINESS,51.8
Malaysia,READINESS,82.6
Mali,READINESS,50.2
Mexico,READINESS,70.8
Mongolia,READINESS,63.4
Morocco,READINESS,55.9
Mozambique,READINESS,50.9
Myanmar,READINESS,65.6
Namibia,READINESS,54.6
Nepal,READINESS,68.8
Netherlands,READINESS,83.1
New Zealand,READINESS,72.5
Nicaragua,READINESS,46.1
Niger,READINESS,47.3
Nigeria,READINESS,70.5
Oman,READINESS,80.2
Pakistan,READINESS,61.4
Panama,READINESS,60.2
Papua New Guinea,READINESS,57.2
Paraguay,READINESS,70.2
Peru,READINESS,73.4
Philippines,READINESS,61.2
Poland,READINESS,79.6
Portugal,READINESS,73.5
Qatar,READINESS,86.7
Romania,READINESS,66.7
Russia,READINESS,64.3
Rwanda,READINESS,73.7
Saudi Arabia,READINESS,72.9
Senegal,READINESS,64.4
Sierra Leone,READINESS,20.6
Singapore,READINESS,73.9
Slovakia,READINESS,70.9
South Africa,READINESS,76.3
South Korea,READINESS,82.4
Spain,READINESS,85.1
Sri Lanka,READINESS,43.0
Sudan,READINESS,41.7
Sweden,READINESS,83.0
Switzerland,READINESS,79.6
Taiwan,READINESS,77.2
Tanzania,READINESS,65.7
Thailand,READINESS,50.3
Trinidad & Tobago,READINESS,63.6
Tunisia,READINESS,57.4
Turkey,READINESS,77.1
UAE,READINESS,65.0
Uganda,READINESS,71.1
Ukraine,READINESS,62.4
United Kingdom,READINESS,76.5
United States,READINESS,81.9
Uruguay,READINESS,67.1
Uzbekistan,READINESS,64.9
Venezuela,READINESS,48.9
Vietnam,READINESS,69.9
Zambia,READINESS,60.5
Zimbabwe,READINESS,53.4
