user_loc,fr_loc,scaled_sci,categories
ES,IS,15971,Spain
ES,IT,15696,Spain
ES,JE,11059,Spain
ES,JM,1496,Spain
ES,JO,967,Spain
ES,JP,1166,Spain
ES,KE,716,Spain
ES,KG,457,Spain
ES,KH,136,Spain
ES,KI,414,Spain
ES,KM,245,Spain
ES,KR,777,Spain
ES,KW,1473,Spain
ES,KY,9990,Spain
ES,KZ,658,Spain
ES,LA,133,Spain
ES,LB,2454,Spain
ES,LC,1505,Spain
ES,LK,468,Spain
ES,LR,2469,Spain
ES,LS,173,Spain
ES,LT,6079,Spain
ES,LU,18985,Spain
ES,LV,5078,Spain
ES,LY,855,Spain
ES,MA,21606,Spain
ES,MD,9941,Spain
ES,ME,4011,Spain
ES,MG,666,Spain
ES,MK,2780,Spain
ES,ML,9400,Spain
ES,MM,86,Spain
ES,MN,554,Spain
ES,MO,1647,Spain
ES,MQ,2984,Spain
ES,MR,9286,Spain
ES,MT,18333,Spain
ES,MU,1314,Spain
ES,MV,2107,Spain
ES,MW,221,Spain
ES,MX,3400,Spain
ES,MY,425,Spain
ES,MZ,891,Spain
ES,NC,2100,Spain
ES,NE,1062,Spain
ES,NG,1179,Spain
ES,NI,34339,Spain
ES,NL,10020,Spain
ES,NO,7739,Spain
ES,NP,751,Spain
ES,NZ,2615,Spain
ES,OM,1648,Spain
ES,PA,11635,Spain
ES,PE,12016,Spain
ES,PF,2588,Spain
ES,PG,189,Spain
ES,PH,1337,Spain
ES,PK,2194,Spain
ES,PL,3114,Spain
ES,PR,6498,Spain
ES,PT,26441,Spain
ES,PY,60647,Spain
ES,QA,2316,Spain
ES,RE,2245,Spain
ES,RO,44581,Spain
ES,RS,3600,Spain
ES,RW,528,Spain
ES,SA,1241,Spain
ES,SB,182,Spain
ES,SC,2728,Spain
ES,SE,6800,Spain
ES,SG,1623,Spain
ES,SI,5230,Spain
ES,SK,3049,Spain
ES,SL,3585,Spain
ES,SN,25493,Spain
ES,SR,1742,Spain
ES,ST,4447,Spain
ES,SV,8979,Spain
ES,SZ,365,Spain
ES,TD,768,Spain
ES,TG,1560,Spain
ES,TH,310,Spain
ES,TJ,417,Spain
ES,TL,519,Spain
ES,TN,1900,Spain
ES,TO,440,Spain
ES,TR,906,Spain
ES,TT,2183,Spain
ES,TW,591,Spain
ES,TZ,618,Spain
ES,UA,3689,Spain
ES,UG,978,Spain
ES,US,3316,Spain
ES,UY,24986,Spain
ES,UZ,428,Spain
ES,VC,932,Spain
ES,VN,206,Spain
ES,VU,297,Spain
ES,WS,330,Spain
ES,YT,892,Spain
ES,ZA,505,Spain
ES,ZM,453,Spain
ES,ZW,457,Spain
FR,AE,4320,France
FR,AF,8733,France
FR,AG,3535,France
FR,AL,9331,France
FR,AM,7055,France
FR,AO,6062,France
FR,AR,1320,France
FR,AT,6431,France
FR,AU,3684,France
FR,AW,2509,France
FR,AZ,1041,France
FR,BA,4417,France
FR,BB,1771,France
FR,BD,1503,France
FR,BE,40013,France
FR,BF,10151,France
FR,BG,6536,France
FR,BH,2432,France
FR,BI,4887,France
FR,BJ,12869,France
FR,BN,726,France
FR,BO,677,France
FR,BR,1152,France
FR,BS,1753,France
FR,BT,744,France
FR,BW,574,France
FR,BY,2086,France
FR,BZ,694,France
FR,CA,7921,France
FR,CD,12006,France
