Entity,Code,Year,Share of one person households,"GDP per capita, PPP (constant 2017 international $)",Population (historical estimates),Continent
Serbia,SRB,2015,22.3,15578.2028500791,8876777.0,Europe
Slovenia,SVN,2015,29.3,33805.030045384,2071199.0,Europe
Spain,ESP,2015,25.2,37377.068016704,46671919.0,Europe
Sweden,SWE,2015,41.6,50928.962975552,9764949.0,Europe
Portugal,PRT,2015,21.8,31118.7906703279,10368346.0,Europe
Serbia,SRB,2016,22.3,16182.8216850199,8853963.0,Europe
Luxembourg,LUX,2016,27.6,113035.834714458,579266.0,Europe
Ethiopia,ETH,2016,7.521216404,1894.89736397042,103603461.0,Africa
Slovenia,SVN,2016,30.3,34858.5119502257,2074205.0,Europe
Lithuania,LTU,2016,38.7,31925.8034212317,2889555.0,Europe
Slovakia,SVK,2016,22.2,29250.1180428621,5442001.0,Europe
Cyprus,CYP,2016,20.8,36523.7332079973,1170189.0,Europe
Greece,GRC,2016,25.7,28226.9072784414,10615183.0,Europe
Latvia,LVA,2016,31.0,27503.1773004104,1974265.0,Europe
Estonia,EST,2016,38.0,32130.3008763844,1316507.0,Europe
Senegal,SEN,2016,8.378523978,3067.66557684345,14993514.0,Africa
Czechia,CZE,2016,28.4,37014.9592935816,10618868.0,Europe
Croatia,HRV,2016,24.6,25599.8436234435,4208611.0,Europe
Iceland,ISL,2016,31.0,54665.7639158138,332209.0,Europe
Finland,FIN,2016,41.3,46206.7878130494,5497714.0,Europe
Ireland,IRL,2016,23.5,72864.4891443774,4695790.0,Europe
Italy,ITA,2016,32.4,40837.7376281437,60663068.0,Europe
Denmark,DNK,2016,44.8,54185.0084787703,5711346.0,Europe
Switzerland,CHE,2016,37.8,68663.2438230835,8379915.0,Europe
France,FRA,2016,35.7,43705.1475593257,64667590.0,Europe
Belgium,BEL,2016,34.1,49828.9629137518,11354407.0,Europe
Poland,POL,2016,24.8,28682.6939326326,37989218.0,Europe
Turkey,TUR,2016,14.8,26385.0019383343,79827868.0,Asia
Angola,AGO,2016,10.81314627,7568.99816818809,28842482.0,Africa
Australia,AUS,2016,24.9918519,48197.431189174,24262710.0,Oceania
Sweden,SWE,2016,41.9,51334.4320301641,9836003.0,Europe
Norway,NOR,2016,44.8,63104.1003947269,5250950.0,Europe
Portugal,PRT,2016,21.8,31847.5377347647,10325540.0,Europe
Austria,AUT,2016,37.0,53269.3062047537,8747306.0,Europe
Uganda,UGA,2016,13.68012832,2075.01166590088,39649173.0,Africa
North Macedonia,MKD,2016,9.7,15491.7435930236,2080746.0,Europe
Hungary,HUN,2016,33.8,28170.8213622975,9752970.0,Europe
Spain,ESP,2016,25.4,38477.5791805612,46634131.0,Europe
Netherlands,NLD,2016,37.8,53847.8265545448,16981285.0,Europe
Nepal,NPL,2016,6.447971739,3315.8144141419,27263430.0,Asia
Myanmar,MMR,2016,5.354498397,4482.92679957997,53045199.0,Asia
Romania,ROU,2016,29.3,25145.0133479761,19796280.0,Europe
Bulgaria,BGR,2016,30.6,20513.10095142,7151948.0,Europe
United Kingdom,GBR,2016,29.7,45268.7304537314,66297944.0,Europe
United States,USA,2016,28.12611771,59112.2422096532,323015992.0,North America
Burundi,BDI,2016,6.042050951,794.60427137057,10488002.0,Africa
Malta,MLT,2016,25.8,40536.7181783198,436099.0,Europe
Germany,DEU,2016,40.8,51803.2354226767,82193770.0,Europe
Slovenia,SVN,2017,29.7,36505.6772178798,2076395.0,Europe
Finland,FIN,2017,41.6,47570.133583848,5511372.0,Europe
United States,USA,2017,27.92812729,60109.6557260477,325084758.0,North America
Poland,POL,2017,24.9,30064.5034841771,37953176.0,Europe
Denmark,DNK,2017,43.4,55356.680780178,5732277.0,Europe
Czechia,CZE,2017,28.3,38824.8879170919,10641032.0,Europe
Cyprus,CYP,2017,20.8,38050.8577356233,1179685.0,Europe
Switzerland,CHE,2017,37.9,69103.570264696,8455797.0,Europe
Spain,ESP,2017,25.6,39528.9253872668,46647425.0,Europe
Bulgaria,BGR,2017,31.0,21387.2766420381,7102452.0,Europe
Belgium,BEL,2017,34.0,50442.2705419623,11419752.0,Europe
Austria,AUT,2017,37.0,54169.9639937065,8819902.0,Europe
Estonia,EST,2017,39.7,33856.1811147559,1319389.0,Europe
Croatia,HRV,2017,24.3,26800.118975807,4182846.0,Europe
Greece,GRC,2017,25.7,28645.0436174422,10569449.0,Europe
Sweden,SWE,2017,41.2,51947.9542478244,9904895.0,Europe
Romania,ROU,2017,29.1,27141.9193326803,19653966.0,Europe
Lithuania,LTU,2017,38.7,33761.871239796,2845419.0,Europe
France,FRA,2017,36.0,44577.0645745394,64842513.0,Europe
Latvia,LVA,2017,33.0,28650.0077575999,1951097.0,Europe
Malta,MLT,2017,26.3,42644.0508459903,437935.0,Europe
United Kingdom,GBR,2017,29.9,45744.7104907571,66727463.0,Europe
Italy,ITA,2017,32.3,41581.120790548,60673694.0,Europe
Ireland,IRL,2017,24.3,78655.6261932149,4753281.0,Europe
Serbia,SRB,2017,22.4,16611.0168589401,8829623.0,Europe
Netherlands,NLD,2017,38.1,55088.6338006744,17021343.0,Europe
Luxembourg,LUX,2017,25.7,112308.17379315,591914.0,Europe
Hungary,HUN,2017,33.8,29465.1262413898,9729822.0,Europe
Portugal,PRT,2017,22.4,33044.7167387479,10288527.0,Europe
North Macedonia,MKD,2017,9.6,15649.9274193472,2081996.0,Europe
Slovakia,SVK,2017,22.3,30077.8455329271,5447903.0,Europe
Norway,NOR,2017,47.0,64050.7561654656,5296324.0,Europe
Germany,DEU,2017,41.5,52952.8750212389,82658409.0,Europe
Turkey,TUR,2017,15.3,27913.8187158996,81116451.0,Asia
Portugal,PRT,2018,23.1,34040.7255617749,10256192.0,Europe
Romania,ROU,2018,29.2,28523.4731832065,19506110.0,Europe
Austria,AUT,2018,37.2,55297.6182880367,8891383.0,Europe
Spain,ESP,2018,25.5,40312.5475864011,46692863.0,Europe
Malta,MLT,2018,26.9,43313.4770253615,439255.0,Europe
Bulgaria,BGR,2018,33.3,22208.4522754771,7051610.0,Europe
Norway,NOR,2018,45.8,64341.2589026158,5337960.0,Europe
Netherlands,NLD,2018,38.3,56060.9136269404,17059560.0,Europe
Belgium,BEL,2018,34.7,51110.9584679336,11482180.0,Europe
France,FRA,2018,36.2,45251.9054105957,64990512.0,Europe
Lithuania,LTU,2018,37.7,35427.4618636641,2801270.0,Europe
Finland,FIN,2018,43.0,48130.2923921114,5522585.0,Europe
Germany,DEU,2018,41.7,53463.4014817389,83124413.0,Europe
United States,USA,2018,28.01247787,61585.7560382102,327096263.0,North America
Poland,POL,2018,25.0,31674.1316243417,37921585.0,Europe
Greece,GRC,2018,25.7,29150.6944922443,10522244.0,Europe
Estonia,EST,2018,40.3,35208.0239637019,1322913.0,Europe
Hungary,HUN,2018,33.2,31095.557503677,9707502.0,Europe
Luxembourg,LUX,2018,33.6,113589.670473448,604244.0,Europe
Serbia,SRB,2018,22.3,17452.7958990327,8802741.0,Europe
Denmark,DNK,2018,44.1,56281.2888680368,5752131.0,Europe
Czechia,CZE,2018,28.7,39932.992193117,10665679.0,Europe
Italy,ITA,2018,32.6,42052.5563822519,60627291.0,Europe
Sweden,SWE,2018,42.5,52349.2924275599,9971630.0,Europe
Switzerland,CHE,2018,38.1,70663.4875973954,8525614.0,Europe
Cyprus,CYP,2018,20.8,39559.4879646749,1189262.0,Europe
Croatia,HRV,2018,24.4,27799.8433225132,4156407.0,Europe
Slovenia,SVN,2018,29.6,37968.3520620285,2077835.0,Europe
Latvia,LVA,2018,35.0,30036.0865499334,1928461.0,Europe
