Entity,Code,Year,Share of one person households,"GDP per capita, PPP (constant 2017 international $)",Population (historical estimates),Continent
Uruguay,URY,1996,16.93861374,13569.8090245336,3247383.0,South America
Zambia,ZMB,1996,6.058426918,1974.61506963396,9339740.0,Africa
New Zealand,NZL,1996,20.23293304,30409.0906623468,3717352.0,Oceania
Nepal,NPL,1996,3.190334167,1876.46428621239,22090352.0,Asia
Iraq,IRQ,1997,1.226552676,5535.86523493283,21439579.0,Asia
Palestine,PSE,1997,3.306351565,4294.74609802983,2872006.0,Asia
Mozambique,MOZ,1997,9.601877067,548.347795240673,16397175.0,Africa
Jordan,JOR,1997,4.682568451,8318.49707084427,4848536.0,Asia
Senegal,SEN,1997,4.362833656,2381.50689843018,9130876.0,Africa
United States,USA,1997,25.14601326,45516.0023303908,271713634.0,North America
Chad,TCD,1997,9.559245282,949.080823950917,7503494.0,Africa
Madagascar,MDG,1997,6.680118504,1560.97384439889,14347860.0,Africa
Bangladesh,BGD,1997,1.883779236,1775.9641175023,120160571.0,Asia
Cameroon,CMR,1998,12.70167367,2683.49769260792,14723772.0,Africa
Togo,TGO,1998,12.47817234,1777.76419887528,4632451.0,Africa
Niger,NER,1998,4.809551946,1017.39891269833,10545720.0,Africa
Kenya,KEN,1998,15.7811697,2944.29905595124,30250488.0,Africa
Bolivia,BOL,1998,10.00911794,5469.46974118482,8096761.0,South America
United States,USA,1998,25.67786407,47004.6141333405,275175309.0,North America
Philippines,PHL,1998,4.074593748,4322.02914131141,74672009.0,Asia
Cote d'Ivoire,CIV,1998,11.40531471,4342.12577428784,15589407.0,Africa
Kazakhstan,KAZ,1999,13.14019914,9330.56478866572,15020573.0,Asia
India,IND,1999,6.562453743,2527.50834683315,1038058154.0,Asia
United States,USA,1999,25.61372375,48676.6590175622,278548148.0,North America
Kyrgyzstan,KGZ,1999,9.337902338,2954.95412236834,4861121.0,Asia
Vietnam,VNM,1999,4.356472697,2797.78553636303,79035871.0,Asia
Belarus,BLR,1999,26.15616081,7575.91832595163,9924440.0,Europe
Guatemala,GTM,1999,4.095099119,6428.04797615096,11387208.0,North America
Zimbabwe,ZWE,1999,15.56173872,3893.93056159773,11822722.0,Africa
Guinea,GIN,1999,4.642497932,1701.72975154262,8054745.0,Africa
Nigeria,NGA,1999,11.30491763,2906.72396750425,119260055.0,Africa
Dominican Republic,DOM,1999,8.146564136,9043.59778325591,8343288.0,North America
Tanzania,TZA,1999,9.244577922,1382.10616826971,32682240.0,Africa
Ghana,GHA,1999,26.1342729,2702.62334776541,18812369.0,Africa
Burkina Faso,BFA,1999,4.390338573,1309.40259006182,11282696.0,Africa
Namibia,NAM,2000,9.395000398,6804.86674286238,1794583.0,Africa
